Date,Urban Congestion Index,Domestic Migration Data,Cumulitive Migration Data
12/1/2012,0.193477076,31,31
1/1/2013,0.103904461,35,66
2/1/2013,0.123305056,15,81
3/1/2013,0.208675934,40,121
4/1/2013,0.192683276,45,166
5/1/2013,0.24217619,53,219
6/1/2013,0.182436304,55,274
7/1/2013,0.291651183,14,288
8/1/2013,0.274116798,21,309
9/1/2013,0.307506167,20,329
10/1/2013,0.260573315,18,347
11/1/2013,0.347247322,17,364
12/1/2013,0.356216107,22,386
1/1/2014,0.279015582,31,417
2/1/2014,0.251225167,18,435
3/1/2014,0.361455164,35,470
4/1/2014,0.268843991,43,513
5/1/2014,0.375060738,60,573
6/1/2014,0.328075392,56,629
7/1/2014,0.390142098,24,653
8/1/2014,0.430884664,34,687
9/1/2014,0.396450281,19,706
10/1/2014,0.490363785,11,717
11/1/2014,0.447292388,20,737
12/1/2014,0.449907469,16,753
1/1/2015,0.290463086,44,797
2/1/2015,0.354581034,10,807
3/1/2015,0.466493285,37,844
4/1/2015,0.345993846,37,881
5/1/2015,0.418195893,64,945
6/1/2015,0.42490569,57,1002
7/1/2015,0.456506003,22,1024
8/1/2015,0.480103871,22,1046
9/1/2015,0.512467381,12,1058
10/1/2015,0.538710069,17,1075
11/1/2015,0.418461178,17,1092
12/1/2015,0.536275408,19,1111
1/1/2016,0.543990174,42,1153
2/1/2016,0.521099232,30,1183
3/1/2016,0.564106042,29,1212
4/1/2016,0.643922764,50,1262
5/1/2016,0.59115385,54,1316
6/1/2016,0.620611263,51,1367
7/1/2016,0.663617557,22,1389
8/1/2016,0.675820759,22,1411
9/1/2016,0.708807985,25,1436
10/1/2016,0.596605252,22,1458
11/1/2016,0.57182211,24,1482
12/1/2016,0.582420967,27,1509
1/1/2017,0.658509284,37,1546
2/1/2017,0.609408566,13,1559
3/1/2017,0.673706587,25,1584
4/1/2017,0.498199643,32,1616
5/1/2017,0.634996868,64,1680
6/1/2017,0.793911354,46,1726
7/1/2017,0.742249967,13,1739
8/1/2017,0.690696042,21,1760
9/1/2017,0.658090198,37,1797
10/1/2017,0.70570995,23,1820
11/1/2017,0.545513624,27,1847
12/1/2017,0.526768861,27,1874
1/1/2018,0.653482065,23,1897
2/1/2018,0.715700053,19,1916
3/1/2018,0.780287204,28,1944
4/1/2018,0.704201103,36,1980
5/1/2018,0.732001918,35,2015
6/1/2018,0.748239703,42,2057
7/1/2018,0.771343934,13,2070
8/1/2018,0.831684265,7,2077
9/1/2018,0.833938668,,2077
10/1/2018,0.862225525,,2077
11/1/2018,0.695287455,3,2080
12/1/2018,0.871598615,1,2081
