Date,Urban Congestion Index,Cumulitive Migration Data,Regional GDP of NCR,Metro Manila Population
12/01/2012,0.193477076,31,4072189800,12267000
01/01/2013,0.103904461,66,4094495542,12283250
02/01/2013,0.123305056,81,4116801284,12299500
03/01/2013,0.208675934,121,4139107026,12315750
04/01/2013,0.192683276,166,4161412768,12332000
05/01/2013,0.24217619,219,4183718510,12348250
06/01/2013,0.182436304,274,4206024252,12364500
07/01/2013,0.291651183,288,4228329994,12380750
08/01/2013,0.274116798,309,4250635736,12397000
09/01/2013,0.307506167,329,4272941478,12413250
10/01/2013,0.260573315,347,4295247220,12429500
11/01/2013,0.347247322,364,4317552962,12445750
12/01/2013,0.356216107,386,4339858704,12462000
01/01/2014,0.279015582,417,4359613388,12478417
02/01/2014,0.251225167,435,4379368072,12494833
03/01/2014,0.361455164,470,4399122756,12511250
04/01/2014,0.268843991,513,4418877440,12527667
05/01/2014,0.375060738,573,4438632124,12544083
06/01/2014,0.328075392,629,4458386808,12560500
07/01/2014,0.390142098,653,4478141491,12576917
08/01/2014,0.430884664,687,4497896175,12593333
09/01/2014,0.396450281,706,4517650859,12609750
10/01/2014,0.490363785,717,4537405543,12626167
11/01/2014,0.447292388,737,4557160227,12642583
12/01/2014,0.449907469,753,4576914911,12659000
01/01/2015,0.290463086,797,4600928136,12675750
02/01/2015,0.354581034,807,4624941361,12692500
03/01/2015,0.466493285,844,4648954585,12709250
04/01/2015,0.345993846,881,4672967810,12726000
05/01/2015,0.418195893,945,4696981035,12742750
06/01/2015,0.42490569,1002,4720994260,12759500
07/01/2015,0.456506003,1024,4745007484,12776250
08/01/2015,0.480103871,1046,4769020709,12793000
09/01/2015,0.512467381,1058,4793033934,12809750
10/01/2015,0.538710069,1075,4817047159,12826500
11/01/2015,0.418461178,1092,4841060383,12843250
12/01/2015,0.536275408,1111,4865073608,12860000
01/01/2016,0.543990174,1153,4894325095,12877000
02/01/2016,0.521099232,1183,4923576582,12894000
03/01/2016,0.564106042,1212,4952828069,12911000
04/01/2016,0.643922764,1262,4982079556,12928000
05/01/2016,0.59115385,1316,5011331043,12945000
06/01/2016,0.620611263,1367,5040582531,12962000
07/01/2016,0.663617557,1389,5069834018,12979000
08/01/2016,0.675820759,1411,5099085505,12996000
09/01/2016,0.708807985,1436,5128336992,13013000
10/01/2016,0.596605252,1458,5157588479,13030000
11/01/2016,0.57182211,1482,5186839966,13047000
12/01/2016,0.582420967,1509,5216091453,13064000
01/01/2017,0.658509284,1546,5240390585,13081333
02/01/2017,0.609408566,1559,5264689717,13098667
03/01/2017,0.673706587,1584,5288988849,13116000
04/01/2017,0.498199643,1616,5313287981,13133333
05/01/2017,0.634996868,1680,5337587113,13150667
06/01/2017,0.793911354,1726,5361886246,13168000
07/01/2017,0.742249967,1739,5386185378,13185333
08/01/2017,0.690696042,1760,5410484510,13202667
09/01/2017,0.658090198,1797,5434783642,13220000
10/01/2017,0.70570995,1820,5459082774,13237333
11/01/2017,0.545513624,1847,5483381906,13254667
12/01/2017,0.526768861,1874,5507681038,13272000
01/01/2018,0.653482065,1897,5533244296,13289500
02/01/2018,0.715700053,1916,5558807553,13307000
03/01/2018,0.780287204,1944,5584370811,13324500
04/01/2018,0.704201103,1980,5609934069,13342000
05/01/2018,0.732001918,2015,5635497326,13359500
06/01/2018,0.748239703,2057,5661060584,13377000
07/01/2018,0.771343934,2070,5686623842,13394500
08/01/2018,0.831684265,2077,5712187099,13412000
09/01/2018,0.833938668,2077,5737750357,13429500
10/01/2018,0.862225525,2077,5763313615,13447000
11/01/2018,0.695287455,2080,5788876872,13464500
12/01/2018,0.871598615,2081,5814440130,13482000
