Date,Urban Congestion Index,Cumulitive Migration Data,Regional GDP of NCR,Growth Rate of RGDP of NCR,Metro Manila Population,Growth Rate Metro Manila Population
12/01/2012,0.193477076,31,4072189800,0.005185819,12267000,0.001298362
01/01/2013,0.103904461,66,4094495542,0.005462632,12283250,0.001323816
02/01/2013,0.123305056,81,4116801284,0.005432953,12299500,0.001322065
03/01/2013,0.208675934,121,4139107026,0.005403596,12315750,0.00132032
04/01/2013,0.192683276,166,4161412768,0.005374554,12332000,0.001318579
05/01/2013,0.24217619,219,4183718510,0.005345822,12348250,0.001316843
06/01/2013,0.182436304,274,4206024252,0.005317397,12364500,0.001315111
07/01/2013,0.291651183,288,4228329994,0.005289271,12380750,0.001313384
08/01/2013,0.274116798,309,4250635736,0.005261442,12397000,0.001311661
09/01/2013,0.307506167,329,4272941478,0.005233904,12413250,0.001309943
10/01/2013,0.260573315,347,4295247220,0.005206653,12429500,0.001308229
11/01/2013,0.347247322,364,4317552962,0.005179684,12445750,0.00130652
12/01/2013,0.356216107,386,4339858704,0.005152993,12462000,0.001304815
01/01/2014,0.279015582,417,4359613388,0.00454159,12478417,0.001316498
02/01/2014,0.251225167,435,4379368072,0.004521057,12494833,0.001314687
03/01/2014,0.361455164,470,4399122756,0.004500709,12511250,0.001313041
04/01/2014,0.268843991,513,4418877440,0.004480544,12527667,0.001311319
05/01/2014,0.375060738,573,4438632124,0.004460558,12544083,0.001309522
06/01/2014,0.328075392,629,4458386808,0.00444075,12560500,0.001307889
07/01/2014,0.390142098,653,4478141491,0.004421116,12576917,0.001306181
08/01/2014,0.430884664,687,4497896175,0.004401656,12593333,0.001304397
09/01/2014,0.396450281,706,4517650859,0.004382366,12609750,0.001302777
10/01/2014,0.490363785,717,4537405543,0.004363245,12626167,0.001301082
11/01/2014,0.447292388,737,4557160227,0.00434429,12642583,0.001299313
12/01/2014,0.449907469,753,4576914911,0.004325499,12659000,0.001297706
01/01/2015,0.290463086,797,4600928136,0.005232881,12675750,0.001322295
02/01/2015,0.354581034,807,4624941361,0.00520564,12692500,0.001320549
03/01/2015,0.466493285,844,4648954585,0.005178682,12709250,0.001318807
04/01/2015,0.345993846,881,4672967810,0.005152001,12726000,0.00131707
05/01/2015,0.418195893,945,4696981035,0.005125594,12742750,0.001315338
06/01/2015,0.42490569,1002,4720994260,0.005099456,12759500,0.00131361
07/01/2015,0.456506003,1024,4745007484,0.005073584,12776250,0.001311886
08/01/2015,0.480103871,1046,4769020709,0.005047972,12793000,0.001310168
09/01/2015,0.512467381,1058,4793033934,0.005022618,12809750,0.001308453
10/01/2015,0.538710069,1075,4817047159,0.004997518,12826500,0.001306744
11/01/2015,0.418461178,1092,4841060383,0.004972666,12843250,0.001305038
12/01/2015,0.536275408,1111,4865073608,0.004948062,12860000,0.001303337
01/01/2016,0.543990174,1153,4894325095,0.005994544,12877000,0.001321055
02/01/2016,0.521099232,1183,4923576582,0.005958824,12894000,0.001319313
03/01/2016,0.564106042,1212,4952828069,0.005923527,12911000,0.001317574
04/01/2016,0.643922764,1262,4982079556,0.005888645,12928000,0.001315841
05/01/2016,0.59115385,1316,5011331043,0.005854172,12945000,0.001314111
06/01/2016,0.620611263,1367,5040582531,0.0058201,12962000,0.001312387
07/01/2016,0.663617557,1389,5069834018,0.005786422,12979000,0.001310667
08/01/2016,0.675820759,1411,5099085505,0.005753132,12996000,0.001308951
09/01/2016,0.708807985,1436,5128336992,0.005720223,13013000,0.00130724
10/01/2016,0.596605252,1458,5157588479,0.005687688,13030000,0.001305533
11/01/2016,0.57182211,1482,5186839966,0.005655521,13047000,0.001303831
12/01/2016,0.582420967,1509,5216091453,0.005623716,13064000,0.001302133
01/01/2017,0.658509284,1546,5240390585,0.004647677,13081333,0.001325896
02/01/2017,0.609408566,1559,5264689717,0.004626176,13098667,0.001324217
03/01/2017,0.673706587,1584,5288988849,0.004604873,13116000,0.00132239
04/01/2017,0.498199643,1616,5313287981,0.004583765,13133333,0.001320643
05/01/2017,0.634996868,1680,5337587113,0.00456285,13150667,0.001318978
06/01/2017,0.793911354,1726,5361886246,0.004542125,13168000,0.001317164
07/01/2017,0.742249967,1739,5386185378,0.004521588,13185333,0.001315432
08/01/2017,0.690696042,1760,5410484510,0.004501235,13202667,0.001313779
09/01/2017,0.658090198,1797,5434783642,0.004481064,13220000,0.00131198
10/01/2017,0.70570995,1820,5459082774,0.004461074,13237333,0.001310261
11/01/2017,0.545513624,1847,5483381906,0.004441261,13254667,0.001308622
12/01/2017,0.526768861,1874,5507681038,0.004421624,13272000,0.001306836
01/01/2018,0.653482065,1897,5533244296,0.004630645,13289500,0.001317697
02/01/2018,0.715700053,1916,5558807553,0.004609301,13307000,0.001315963
03/01/2018,0.780287204,1944,5584370811,0.004588153,13324500,0.001314233
04/01/2018,0.704201103,1980,5609934069,0.004567198,13342000,0.001312508
05/01/2018,0.732001918,2015,5635497326,0.004546433,13359500,0.001310788
06/01/2018,0.748239703,2057,5661060584,0.004525857,13377000,0.001309072
07/01/2018,0.771343934,2070,5686623842,0.004505466,13394500,0.001307361
08/01/2018,0.831684265,2077,5712187099,0.004485257,13412000,0.001305654
09/01/2018,0.833938668,2077,5737750357,0.00446523,13429500,0.001303951
10/01/2018,0.862225525,2077,5763313615,0.00444538,13447000,0.001302253
11/01/2018,0.695287455,2080,5788876872,0.004425706,13464500,0.001300559
12/01/2018,0.871598615,2081,5814440130,0.004406205,13482000,0.00129887

